Type,Land Area,Service Lines,Address,Price,Currency,Description,Datetime,Links
Agricultural,7000 sq.m.,,Armavir › Shahumyan,"$13,000",USD,For agricultural purposes... Jur kadz... Shahumyan villageArmavir marzTranslated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/18271212
For Residential Development,1040 sq.m.,,Armavir › Shahumyan,"$8,000",USD,"Gas, water and electricity are located nearby... Shauhmyan villageArmavir marzTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18271213
For Residential Development,1020 sq.m.,,Armavir › Dasht,"$6,000",USD,"A plot of land near the house is for sale. There are houses nearby, it is suitable for building a house.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18317719
For Residential Development,2000 sq.m.,,Armavir › Arevashat,"$15,000",USD,1000 square meters of land. Close to home. 1000 square meters of agricultural land. Irrigation water and electricity available. It is also suitable for building greenhouses and exchanging with an equivalent machine for planting treesTranslated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/18101638
For Residential Development,700 sq.m.,,Armavir › Ptghunk,"$8,000",USD,A plot of land in Ptghunk village is for sale. The land is suitable for building a residential house. For more information call.Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/18475079
For General Purpose,"200,000 sq.m.",,Armavir › Margara,"$150,000",USD,"20 hectares are located near the Araks river, near the sand mines. It is 35 km away from Yerevan.On the road leading to the area of sand mines of Margara village.It will be leased.Price is negotiable.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17217365
Agricultural,1000 sq.m.,,Armavir › Musaler,"$100,000",USD,"Վաճառվում է 1000 քկմ հողատարածք Երևան-Էջմիածին մայրուղու մոտ` Պտղունք գյուղում: Հողատարածքը գտնվում է առաջին գծում և ունի մշտական ոռոգման ու խմելու ջուր, բնական գազ, էլ էներգիա, տնակ, պտղատու ծառեր: Ճակատային մասը 21 մետր է: Հողատարածքը կարող է օգտագոծվել ինչպես բնակելի տուն կառուցելու նպատակով, այնպես էլ բիզնես ծավալելու նպատակով: Գինը սակարկելի",Dec-12-2022_18-22,https://list.am/en/item/5322127
For Residential Development,1470 sq.m.,,Armavir › Echmiadzin,"$30,000",USD,"Etchmiadzin village, the old name of Geghakert, in the central part of Samaghar village, near the intersection going to Aragats, the land is located on the asphalt road, suitable for the construction of a store or other business purposes, the frontage is 22.7m long, 67m long. Exchange possible for up to $15,000 worth of car for half guarTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18228510
For Residential Development,540 sq.m.,,Armavir › Parakar,"$16,000",USD,"On the right-hand section going from the airport intersection to Ejmiadzin. 180 meters from the highway. The importance of the land near the house. It is the last price, don't call nonsenseTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/15995533
Agricultural,1500 sq.m.,,Armavir › Parakar,"$120,000",USD,"Land in Parakar, first line, 13 m. Front part of the highway, 112 m. Length.Unfinished building of 140 square meters, with all communal facilities.Suitable for any type of activity.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/13418646
For Residential Development,1600 sq.m.,,Armavir › Vardanashen,"188,734 ֏",AMD,"The property is the Bank's collateral, which is at the ARCS auction.Armavir region, village Land plot in Vardanashen, 1600 square meters, has irrigation water.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/15115594
For Residential Development,2100 sq.m.,,Armavir › Taronik,"1,129,039 ֏",AMD,"The property is in the RACP auction.Armavir marz, c. I will go to Taronik. Plot of land 2100 square meters, actually well-developed, uncultivated.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18406656
For Residential Development,1460 sq.m.,,Armavir › Taronik,"986,267 ֏",AMD,"The property is in the RACP auction.Armavir marz, c. I will go to Taronik. Land 1460 square meters, actually well-developed, with water, uncultivated.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18406743
Agricultural,1700 sq.m.,,Armavir › Taronik,"428,253 ֏",AMD,"The property is in the RACP auction.Armavir marz, c. 1700 square meters of arable land in Taronik, the surface is flat, cultivated, with water, it is partially demarcated from the adjacent areas, it is located near the road.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18406748
Agricultural,4100 sq.m.,,Armavir › Mayisyan,"5,264,000 ֏",AMD,"The property is a collateral of the Bank, which is in the Bankruptcy auction.Armavir region, c ․ Mayisyan 4100 square meters, the land is flat, there is water.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/16767268
Agricultural,"16,800 sq.m.",,Armavir › Mayisyan,"5,103,000 ֏",AMD,"The property is a collateral of the Bank, which is in the Bankruptcy auction.Armavir region, c ․ May 1․68 ha, the plot is flat.You can also purchase the presented property through crediting by the Bank with current credit terms and tariffs.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17650504
Agricultural,"11,800 sq.m.",,Armavir › Armavir,"1,029,456 ֏",AMD,"The property is the Bank's collateral, which is at the ARCS auction.Armavir region, c. Memorial arable land: 1․18 ha, there is a possibility of irrigation, the surface is smooth, not rocky, there are small fruit trees.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/14644486
Agricultural,8508 sq.m.,,Armavir › Mayisyan,"1,490,000 ֏",AMD,"The property is a collateral of the Bank, which is in the Bankruptcy auction.Armavir region, c ․ Mayisyan 8508 square meters, the land is flat.You can also purchase the presented property through crediting by the Bank with current credit terms and tariffs.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17650514
Agricultural,"26,100 sq.m.",,Armavir › Myasnikyan,"1,006,400 ֏",AMD,"The property is a lien against the Bank, which is in BANKRUPTCY auction.Armavir marz, c. Myasnikyan, a 2.61 ha village plot - Varelahogh, there are 3 more villages. Plot of land: 1.34 ha. Price 1.037.500 drams, 1.35 ha. Price 1.046.034 drams, land 1.2007 ha one. Price 942.250 drams.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17178865
Agricultural,6400 sq.m.,,Armavir › Bambakashat,"1,229,090 ֏",AMD,"The property is the Bank's collateral, which is at auction at the ARCS.Armavir region, 6400 square meters of arable land in Bambakashat community, the area is flat, demarcated from the adjacent areas, it is a vineyard.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17164388
Agricultural,6400 sq.m.,,Armavir › Hatsik,"634,831 ֏",AMD,"The property is the Bank's collateral, which is at the ARCS auction.Armavir region village Hatsik Agricultural land - 6400 square meters, there are fruit trees.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/14383241
Agricultural,2600 sq.m.,,Armavir › Hatsik,"308,837 ֏",AMD,"The property is the Bank's collateral, which is at the ARCS auction.Armavir region, village Hatsik, agricultural land, 2600 square meters, there are vines.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Dec-12-2022_18-23,https://list.am/en/item/14382839
Agricultural,8555 sq.m.,,Armavir › Nalbandyan,"1,010,390 ֏",AMD,"The property is the Bank's collateral, which is at auction at the ARCS.Armavir region, village Village in Nalbandyan ․ Land of significance: 8555 square meters. The land is improved, the surface is flat, watery, it is partially demarcated from the adjacent areas.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Dec-12-2022_18-23,https://list.am/en/item/17898826
For Residential Development,2214 sq.m.,,Armavir › Janfida,"896,008 ֏",AMD,"The property is the Bank's collateral, which is at auction at the ARCS.Armavir region, c ․ Janfida, 57 street, land plot No. 6, 2214 square meters. The land is improved, the surface is flat, watery, it is separated from the adjacent areas, it is a vineyard.You can also purchase the presented property through crediting by the Bank with current credit terms and tariffs.Translated from Armenian",Dec-12-2022_18-23,https://list.am/en/item/17898902
Agricultural,3100 sq.m.,,Armavir › Arevik,"659,873 ֏",AMD,"The property is in the RACP auction.Arevik village, Armavir marz. Plot of land, 3100 square meters, uncultivated.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.Translated from Armenian",Dec-12-2022_18-23,https://list.am/en/item/18346293
Agricultural,"600,000 sq.m.",,"Armavir Highway, Nor Kesaria","$3,500",USD,A plot of 60 hectares is for sale700 m of road frontageWater featureIt was developed for a year only under the communistsThe price of 1 ha is $3500viber.Whats app. With the same numberTranslated from Armenian,Dec-12-2022_18-23,https://list.am/en/item/17747058
Agricultural,2500 sq.m.,,Armavir › Bambakashat,"$200,000",USD,"It is a working drying room, refrigerators and all amenities are availableTranslated from Armenian",Dec-12-2022_18-23,https://list.am/en/item/18418763
For General Purpose,7500 sq.m.,,Armavir › Echmiadzin,"$53,000",USD,"AS021:A fenced plot of land is for sale in Apaga village. It has 2 deep wells and three-phase current. There is an apricot orchard on the land. The total area is 7500 square meters. The land is located next to the M3 highway. The cost is $53,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Dec-12-2022_18-23,https://list.am/en/item/18305869
