Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links,Service Lines,Condition,Facilities
House,Stone,200 sq.m.,2,8+,1,,,No Renovation,1500 sq.m.,,,,,,Lorri › Gyulagarak,"11,000,000 ֏",AMD,It is very convenient to turn into a guest house. It needs cosmetic repairs. There is gas. Water. Percent. Sewer: . It is 20 meters away from the asphalt.Translated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/17970867,,,
House,Cassette,370 sq.m.,1,2,1,,,Partial Renovation,370 sq.m.,,,,,,"3rd lane 3rd street, Darpas","$14,500",USD,"There is no domestic gas, I will adjust the priceTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18325682,,,
House,Stone,200 sq.m.,2,4,2,,,No Renovation,350 sq.m.,,,,,,"Դպրոցի փողոց 13Ա-1, Վանաձոր","$50,000",USD,"A two-story private house is for sale in Vanadzor on Zakaryan Street.The house has its own garage and there is also a garage.On the first floor there is a kitchen, a bathroom, a living room.There are 3 bedrooms and one bathroom on the 2nd floor.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18107012,,,
House,Stone,407 sq.m.,3,8+,2,,,Partial Renovation,600 sq.m.,,,,,,Lorri › Stepanavan,"$97,000",USD,Call for detailsTranslated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/18493603,,,
House,Stone,300 sq.m.,2,8+,2,,,Major Renovation,600 sq.m.,,,,,,Lorri › Stepanavan,"$100,000",USD,"A two-story private house of 300 square meters with furniture is for sale in the city of Stepanavan, Lori marz. The plot of land near the house is 600 square meters. The house is in excellent condition. Number of rooms: 8, with two kitchens, separate bathroom. It is equipped with a European heating system, it is gasified, there is constant hot and cold water. It has an open balcony. In the yard there is a separate garage of 27 square meters, an outbuilding next to the house, a barbecue.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18140254,,,
House,Stone,355 sq.m.,3,8+,3+,,,No Renovation,841 sq.m.,,,,,,"Երևանյան խճուղի, Վանաձոր","$50,000",USD,"The building is located on Vanadzor Dilijan road, it is suitable for building both a residential house and a guest house.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18037538,,,
House,Stone,200 sq.m.,2,5,1,,,Euro Renovation,1000 sq.m.,,,,,,"Տավրոսի 21-րդ փողոց 32, Վանաձոր","$95,000",USD,"A 2-storey private house with furniture and all utilities is for sale. The house is sunny, has a sunny terrace. Renovated 1 year ago. There is a heating system. It has 2 garages. The garden has fruit trees and a cattle shed.A solar panel is installed.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/16488482,,,
House,Stone,100 sq.m.,3,4,1,,,Major Renovation,,,,,,,Lorri › Fioletovo,"$42,000",USD,Продается дом в фиолетово,Dec-12-2022_21-19,,,https://list.am/en/item/18391660,,,
House,Stone,84 sq.m.,2,2,1,,,Old Renovation,,,,,,,Lorri › Haghpat,"$25,000",USD,"Տունը Հաղպատ գյուղում է, զբոսաշրջային մեծ շարժով։ Հողատարածքի ընդհանուր մակերեսը 600 քմ։ Տունը գյուղի կենտրոնում է, վանքի անմիջապես հարևանությամբ։ Երկհարգանի, առաջին հարկը ամբողջությամբ հարմարեցված բիզնես գործունեություն ծավալելու համար։ Մանրամասների համար' հեռախոսազանգով։Տատ շտապ Սակարկելի",Dec-12-2022_21-19,,,https://list.am/en/item/13024575,,,
House,Stone,140 sq.m.,2,4,1,,,Old Renovation,1100 sq.m.,,,,,,Lorri › Vanadzor,"$15,000",USD,"Please read to the end and then call. A detached house in the village of Shahumyan, with all utilities, is for sale urgently. It is also exchanged for an apartment. It has 2 barns, a hay shed, a basement (very dry), the first floor is the house, the second floor is a large masard, 1100 square meters of land next to the house. The house is a 5-minute walk from the bus stop and a little uphill. For details, call the indicated number.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/11948060,,,
House,Stone,200 sq.m.,3,5,1,,,Partial Renovation,400 sq.m.,,,,,,"Խնձորուտ 1-ին փողոց 15Ա, Վանաձոր","$48,000",USD,"Urgent!2.5-storey stone private house.With communal amenities, euro windows, heating system, stone fence, iron bars, fruit trees.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17189600,,,
House,Stone,120 sq.m.,1,3,1,,,Partial Renovation,290 sq.m.,,,,,,"Լոռվա փողոց 4, Վանաձոր","12,000,000 ֏",AMD,There are fruit trees in the garden. The price of the house is negotiable.Translated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/18437567,,,
House,Stone,86 sq.m.,1,4,1,,,Cosmetic Renovation,420 sq.m.,,,,,,Lorri › Vanadzor,"$21,500",USD,"The house is in good condition. 3 bedrooms, kitchen, living room, toilet is outside. It is equipped with all utilities. It has an auxiliary area (bathroom), fruit trees. There is no driveway, that's why the price is high. Address: Chernishevsky lane 15:00Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/10794163,,,
House,Stone,303 sq.m.,3,8+,2,,,Cosmetic Renovation,1000 sq.m.,,,,,,"3-րդ փողոց 1, Գուգարք","$65,000",USD,"The mansion is located in Gugark district. It is built after the earthquake, it has a garage, a cowshed, 1000 m2 of land, 8 + rooms, 2 bathrooms, all utilities.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18542058,,,
Country House,Stone,190 sq.m.,2,6,2,,,Major Renovation,1500 sq.m.,,,,,,Lorri › Arjut,"$250,000",USD,"A two-storey stone house/guesthouse with its adjoining grounds and pavilions is for sale. The building has two separate entrances and each has its own kitchen, living room, bathroom and two bedrooms.There are open and closed pavilions and rest areas in the yard. Fully renovated and furnished. There is constant water, gas, internet, heating. A long-term rental option may also be considered.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18489495,,,
House,Stone,303 sq.m.,3,8+,2,,,Cosmetic Renovation,303 sq.m.,,,,,,"6-րդ փողոց, Գուգարք","$65,000",USD,"A three-story private house in the village of Gugark, Lori region, has 3 floors. The first floor is a basement, two are residential, it has a garage, a large orchard, a cattle shed, the price is negotiable. The first floor with all utilities is also available for rentTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18311995,,,
House,Stone,170 sq.m.,2,4,1,,,Euro Renovation,900 sq.m.,,,,,,Lorri › Tashir,"6,500,000 ֏",AMD,"For sale in Tashir region of Lori region, about 2 km south of Tashir city, on the right bank of Tashir river, in Saratovka village, a two-storey private house of 170 sq. M.,with all utilities.Garage, auxiliary structure - 900 square meters, barn, land, which is suitable for greenhouse activities. There is a fertilizer factory next to it.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/16758427,,,
House,Stone,219 sq.m.,2,8+,1,,,Cosmetic Renovation,594 sq.m.,,,,,,"Սարոյան փողոց 32, Վանաձոր","14,000,000 ֏",AMD,"For sale in front of a two-storey private house in the district, at 32 Saroyan street. 594 square meters, of which 219 square meters are residential houses. With all communal facilities, cosmetically repaired, the windows are euro. Urgent ️ ️‼ ️ price is negotiable. If you have any questions, callTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17891229,,,
Country House,Stone,80 sq.m.,1,4,1,,,Old Renovation,1000 sq.m.,,,,,,Lorri › Alaverdi,"$10,000",USD,"The house is not in good condition. Exchange is possible. For details, call NegotiableTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17288619,,,
House,Wooden,151 sq.m.,2,6,1,Not available,1 spot,Old Renovation,740 sq.m.,,,,,,"Ակադեմիկոս Գևորգ Բ. Ջահուկյանի փողոց, Տաշիր","$16,000",USD,"A house for sale at Pushkini 111 (in front of the Police station, the website does not allow you to choose the correct address) 1st floor, basement (half-bathroom), where there is a bathroom. 6 rooms on the 2nd floor. There is a half-built garage and a boiler room on the plot.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18244300,,,
House,Bricks,200 sq.m.,2,4,1,,,No Renovation,700 sq.m.,,,,,,Lorri › Tashir,"$7,000",USD,"Срочно продается дом с участком. Таширский район, село Лернаовит. На участке плодовые деревья. Реальному покупателю торг уместен. Возможен обмен с машиной.",Dec-12-2022_21-19,,,https://list.am/en/item/18252540,,,
House,Panels,222 sq.m.,2,7,2,,,Cosmetic Renovation,1664 sq.m.,,,,,,"Meqenashinararneri district, Vanadzor","$100,000",USD,"Private house for sale, Vanadzor Taron 4 in Belarus there is a marrak barn has an orchard all for privatized details call price negotiableTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17498493,,,
House,Stone,260 sq.m.,2,3,1,,,Partial Renovation,"10,000 sq.m.",,,,,,"24-րդ փողոց 10, Արջուտ","$25,000",USD,A house with its own land is for sale.Translated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/18530126,,,
House,Stone,70 sq.m.,1,2,1,,,Old Renovation,,,,,,,"Dprotsi street, Vanadzor","$17,000",USD,"Վաճառվում է տուն Ք. Վանաձոր Վանաձոր թաղամասում. Ունի մշտական ջուր, լույս ունի նաև հողատարածք հարմար է առանձնատուն սարքելու համար։Ունի հողատարածք 300քառ. Մ, իր մեջ ընդգրկում է նաև նկուղային հարկ։Զանգեն ռեալ գնորդները։",Dec-12-2022_21-19,,,https://list.am/en/item/13439838,,,
House,Stone,120 sq.m.,1,4,1,,,No Renovation,4000 sq.m.,,,,,,Lorri › Dsegh,"$100,000",USD,"The price is 4000 sq. M. With a land plot near the house, the price is negotiable. It is privatized.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17740312,,,
House,Stone,850 sq.m.,2,4,1,,,Partial Renovation,,,,,,,"Tavros 4-th street, Vanadzor","$35,000",USD,"The house is partially renovated, the sewer is self-built.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18527204,,,
House,Stone,122 sq.m.,1,4,1,,,Old Renovation,550 sq.m.,,,,,,"Գարեգին Նժդեհի փողոց, Ագարակ","4,000,000 ֏",AMD,"The house is located in Agarak village of Stepanavan, it needs renovation.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17522304,,,
House,Stone,1000 sq.m.,1,5,1,,,Euro Renovation,,,,,,,"Tavros 6-th street 1st lane, Vanadzor","$120,000",USD,"Վաճառվում է երկու սեփական առանձնատուն միևնույն տարածքում։Մեկը բնակելի բոլոր հարմարություններով, մյուսը կարելի է օգտագործել ցանկացած նպատակներով (խանութ, գեղեցկության սրահ և այլն) : Ունի մրգատու ծառերով հողատարածք և կից կառույց։Շինությունը գտնվում է ճանապարհի բանուկ հատվածում։Ունի երկու քարե մեծ ավտոտնակ։",Dec-12-2022_21-19,,,https://list.am/en/item/15729677,,,
House,Stone,140 sq.m.,2,5,1,,,Partial Renovation,,,,,,,"Ֆիդայիների փողոց 79-1, Վանաձոր","$25,000",USD,"Newly built two-storey private house in Vanadzor district is for sale. The house is partially renovated, most of the doors and windows have been changed, the roof is new, it is provided with all the utilities: Permanent water, natural gas, city telephone. It does not have a plot of land and a garage, exchange is possible if possible. Price is negotiable. Only real buyers should call...Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/16936553,,,
House,Stone,351 sq.m.,3,7,1,,,Major Renovation,400 sq.m.,,,,,,"Բարեկամության փողոց, Վանաձոր","$120,000",USD,"URGENT եռ A three-storey private house is for sale, together with the property. Can serve as a hostel. Price is negotiable.For more information, call the numbers belowTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17359366,,,
House,Stone,800 sq.m.,2,5,2,,,Partial Renovation,,,,,,,Lorri › Stepanavan,"$55,000",USD,"Lori, city of StepanavanTwo-storey private house in the center of Stepanavan is for saleThe house was built in 1996. On the 1st floor there is a hall and a garage for 3 cars. The house has adjacent structures, the yard is tiled, the 2nd floor of the house is residential. The house is renovated and has an individual heating system.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17368494,,,
